Average Metric: 38.00 / 50 (76.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 50/50 [00:10<00:00,  4.76it/s]
31               Tensile Tests   
32               Tensile Tests   
33                  Bend Tests   
34             Toughness Tests   
35              Hardness Tests   
36                   Thickness   
37            Marking Location   
38            Marking Location   
39             Marking Details   
40        Color Line and Width   
41                     Packing   
42          Ultrasonic Testing   
43               Tensile Tests   
44             Toughness Tests   
45  Heat Treatment Temperature   
46              Hardness Tests   
47                  Preheating   
48                      Length   
49                 Bevel Angle   

                                           definition  \
0   ['Requirements for test locations, frequencies...   
1   [Accurate provisions for packing (Packing) to ...   
2   [Clearly specified provisions for methods of r...   
3   [Accurate provisions for packing (Packing) to ...   
4   ['Requirements for test locations, frequencies...   
5   [Clear criteria or procedures for conducting c...   
6   [Detailed pass criteria in numerical ranges, a...   
7   [Clearly specified numerical pass range and te...   
8   ['The test method, frequency, locations, frequ...   
9   [A clear range or numerical content standard f...   
10  [Clear criteria or procedures for conducting c...   
11  [Detailed pass criteria in numerical ranges, a...   
12  [Preheating (Preheating) temperature (℃) speci...   
13  ["Detailed pass criteria or procedures and met...   
14  ['Requirements for test locations, frequencies...   
15  [Numerically specified pass ranges and test lo...   
16  [Preheating (Preheating) temperature (℃) speci...   
17  [Clear criteria or procedures for conducting c...   
18  [A range in numbers for the outer diameter (OD...   
19  [Numerical values or ranges for the bead heigh...   
20  [A range in numbers for roundness (Roundness, ...   
21  [A range in numbers for roundness (Roundness, ...   
22    [The numerical range for the length of a pipe.]   
23  [A range in numbers for straightness (Straight...   
24  ["Clearly defined bevel (bevel angle) criteria...   
25  ["Clearly defined criteria in numbers for a ce...   
26  [Clearly specified standards and items in nume...   
27  [Numerically specified pass ranges and test lo...   
28  ['Requirements for test locations, frequencies...   
29  ['The test method, frequency, locations, frequ...   
30  [The specific location on the pipe surface whe...   
31  [Detailed pass criteria in numerical ranges, a...   
32  [Detailed pass criteria in numerical ranges, a...   
33  ["Detailed pass criteria or procedures and met...   
34  [Clearly specified numerical pass range and te...   
35  [Numerically specified pass ranges and test lo...   
36  [A range in numbers for the pipe's thickness (...   
37  [The specific location on the pipe surface whe...   
38  [The specific location on the pipe surface whe...   
39  [Identification and quality control informatio...   
40  ['The color line (Color Line, Color Code, Colo...   
41  [Accurate provisions for packing (Packing) to ...   
42  ['Requirements in terms of test locations or f...   
43  [Detailed pass criteria in numerical ranges, a...   
44  [Clearly specified numerical pass range and te...   
45  [Heat treatment temperature (Heat Treatment) a...   
46  [Numerically specified pass ranges and test lo...   
47  [Preheating (Preheating) temperature (℃) speci...   
48    [The numerical range for the length of a pipe.]   
49  ["Clearly defined bevel (bevel angle) criteria...   

                                 special_rule_include  \
0                                                 [-]   
1   [Output requirements for pipe packing such as ...   
2   [Check for clear anti-rust criteria (anti-rust...   
3   [Output requirements for pipe packing such as ...   
4                                                 [-]   
5   [Check clear standards for chemical compositio...   
6   [Check pass criteria, specimen sampling locati...   
7   [Output test locations for base material, weld...   
8   [Output implementation details as it is not a ...   
9   ['Check the specific numerical limits for each...   
10  [Check clear standards for chemical compositio...   
11  [Check pass criteria, specimen sampling locati...   
12  [Check if regulated test temperature (℃) is sp...   
13  [Check pass criteria, specimen sampling locati...   
14                                                [-]   
15  [Highlight pass criteria (HB, HV, HRB, HRC, HB...   
16  [Check if regulated test temperature (℃) is sp...   
17  [Check clear standards for chemical compositio...   
18  [Output statements mentioning compliance with ...   
19                                                [-]   
20                                                [-]   
21                                                [-]   
22                                                [-]   
23                                                [-]   
24  [Output content stating compliance with ASME B...   
25  [Output content stating compliance with ASME B...   
26  [Output standards like XX MPa or 10 seconds, O...   
27  [Highlight pass criteria (HB, HV, HRB, HRC, HB...   
28                                                [-]   
29  [Output implementation details as it is not a ...   
30  [Check exact marking locations such as inside,...   
31  [Check pass criteria, specimen sampling locati...   
32  [Check pass criteria, specimen sampling locati...   
33  [Check pass criteria, specimen sampling locati...   
34  [Output test locations for base material, weld...   
35  [Highlight pass criteria (HB, HV, HRB, HRC, HB...   
36  [Output statements mentioning compliance with ...   
37  [Check exact marking locations such as inside,...   
38  [Check exact marking locations such as inside,...   
39  [Ensure any mention of 'Commodity Code, Ident ...   
40  [Refer to graphical or textual representation ...   
41  [Output requirements for pipe packing such as ...   
42  [Check requirements for detecting defects with...   
43  [Check pass criteria, specimen sampling locati...   
44  [Output test locations for base material, weld...   
45  [Content adhering to code standards, Check if ...   
46  [Highlight pass criteria (HB, HV, HRB, HRC, HB...   
47  [Check if regulated test temperature (℃) is sp...   
48                                                [-]   
49  [Output content stating compliance with ASME B...   

                                 special_rule_exclude  \
0   [Exclude content related to bending structures...   
1   [Exclude general provisions (e.g., pipes must ...   
2   [Exclude general provisions (e.g., pipes must ...   
3   [Exclude general provisions (e.g., pipes must ...   
4   [Exclude content related to bending structures...   
5   ['Exclude standards or procedures for chemical...   
6                                                 [-]   
7   [Exclude content related to Drop Weight Tear T...   
8   [Exclude content related to residual magnetism...   
9   [Exclude cases where it is part of formulas us...   
10  ['Exclude standards or procedures for chemical...   
11                                                [-]   
12  [Exclude content related to preheating tempera...   
13                                                [-]   
14  [Exclude content related to bending structures...   
15            [Exclude content related to SSC tests.]   
16  [Exclude content related to preheating tempera...   
17  ['Exclude standards or procedures for chemical...   
18  [Exclude contents related to inspection or mea...   
19                                                [-]   
20                                                [-]   
21                                                [-]   
22  [Exclude cases where the 'length' is related t...   
23                                                [-]   
24  [Exclude provisions related to the bevel angle...   
25                                                [-]   
26                 [Exclude content related to MPQT.]   
27            [Exclude content related to SSC tests.]   
28  [Exclude content related to bending structures...   
29  [Exclude content related to residual magnetism...   
30  [Exclude duplicate information related to mark...   
31                                                [-]   
32                                                [-]   
33                                                [-]   
34  [Exclude content related to Drop Weight Tear T...   
35            [Exclude content related to SSC tests.]   
36  ["Exclude thickness values used in simple calc...   
37  [Exclude duplicate information related to mark...   
38  [Exclude duplicate information related to mark...   
39         [Exclude content related to SHIPPING MASK]   
40  [Exclude mentions of color differentiation wit...   
41  [Exclude general provisions (e.g., pipes must ...   
42  [Exclude content related to thickness measurem...   
43                                                [-]   
44  [Exclude content related to Drop Weight Tear T...   
45  [Exclude cases that do not include a regulated...   
46            [Exclude content related to SSC tests.]   
47  [Exclude content related to preheating tempera...   
48  [Exclude cases where the 'length' is related t...   
49  [Exclude provisions related to the bevel angle...   

                                common_exclusion_list  \
0   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
1   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
2   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
3   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
4   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
5   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
6   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
7   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
8   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
9   [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
10  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
11  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
12  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
13  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
14  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
15  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
16  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
17  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
18  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
19  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
20  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
21  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
22  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
23  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
24  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
25  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
26  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
27  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
28  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
29  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
30  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
31  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
32  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
33  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
34  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
35  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
36  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
37  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
38  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
39  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
40  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
41  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
42  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
43  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
44  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
45  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
46  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
47  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
48  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   
49  [Fittings, Flange, Gasket, Bolt, Nut, Valve, S...   

                                    raw_material_list  expected_bool  \
0   [slab, plate, steel making, coil, strips, mate...           True   
1   [slab, plate, steel making, coil, strips, mate...          False   
2   [slab, plate, steel making, coil, strips, mate...           True   
3   [slab, plate, steel making, coil, strips, mate...          False   
4   [slab, plate, steel making, coil, strips, mate...           True   
5   [slab, plate, steel making, coil, strips, mate...           True   
6   [slab, plate, steel making, coil, strips, mate...           True   
7   [slab, plate, steel making, coil, strips, mate...          False   
8   [slab, plate, steel making, coil, strips, mate...          False   
9   [slab, plate, steel making, coil, strips, mate...           True   
10  [slab, plate, steel making, coil, strips, mate...           True   
11  [slab, plate, steel making, coil, strips, mate...           True   
12  [slab, plate, steel making, coil, strips, mate...           True   
13  [slab, plate, steel making, coil, strips, mate...           True   
14  [slab, plate, steel making, coil, strips, mate...          False   
15  [slab, plate, steel making, coil, strips, mate...          False   
16  [slab, plate, steel making, coil, strips, mate...           True   
17  [slab, plate, steel making, coil, strips, mate...           True   
18  [slab, plate, steel making, coil, strips, mate...           True   
19  [slab, plate, steel making, coil, strips, mate...           True   
20  [slab, plate, steel making, coil, strips, mate...           True   
21  [slab, plate, steel making, coil, strips, mate...           True   
22  [slab, plate, steel making, coil, strips, mate...           True   
23  [slab, plate, steel making, coil, strips, mate...           True   
24  [slab, plate, steel making, coil, strips, mate...           True   
25  [slab, plate, steel making, coil, strips, mate...           True   
26  [slab, plate, steel making, coil, strips, mate...           True   
27  [slab, plate, steel making, coil, strips, mate...           True   
28  [slab, plate, steel making, coil, strips, mate...          False   
29  [slab, plate, steel making, coil, strips, mate...           True   
30  [slab, plate, steel making, coil, strips, mate...          False   
31  [slab, plate, steel making, coil, strips, mate...          False   
32  [slab, plate, steel making, coil, strips, mate...           True   
33  [slab, plate, steel making, coil, strips, mate...           True   
34  [slab, plate, steel making, coil, strips, mate...           True   
35  [slab, plate, steel making, coil, strips, mate...           True   
36  [slab, plate, steel making, coil, strips, mate...          False   
37  [slab, plate, steel making, coil, strips, mate...          False   
38  [slab, plate, steel making, coil, strips, mate...           True   
39  [slab, plate, steel making, coil, strips, mate...           True   
40  [slab, plate, steel making, coil, strips, mate...           True   
41  [slab, plate, steel making, coil, strips, mate...           True   
42  [slab, plate, steel making, coil, strips, mate...           True   
43  [slab, plate, steel making, coil, strips, mate...           True   
44  [slab, plate, steel making, coil, strips, mate...           True   
45  [slab, plate, steel making, coil, strips, mate...          False   
46  [slab, plate, steel making, coil, strips, mate...           True   
47  [slab, plate, steel making, coil, strips, mate...           True   
48  [slab, plate, steel making, coil, strips, mate...           True   
49  [slab, plate, steel making, coil, strips, mate...           True   

                                            reasoning  decision_bool  \
0   The demand discusses the manufacturing and tes...           True   
1   The demand discusses the requirements for beve...           True   
2   The demand discusses the handling, transport, ...          False   
3   The demand discusses the handling, transport, ...           True   
4   The demand discusses the storage of radiograph...           True   
5   The demand discusses the requirements for chem...           True   
6   The demand discusses the requirements for mech...           True   
7   The demand discusses mechanical properties and...           True   
8   The demand discusses the requirements for SAWL...           True   
9   The demand discusses the requirements for weld...          False   
10  The demand discusses the requirements for weld...           True   
11  The demand discusses the requirements for weld...           True   
12  The demand text discusses the requirements for...           True   
13  The demand discusses the qualification of manu...           True   
14  The demand discusses the qualification of manu...           True   
15  The demand discusses various aspects of weldin...          False   
16  The demand text discusses various aspects of w...           True   
17  The demand discusses the requirements for SAWL...           True   
18  The demand discusses the requirements for SAWL...           True   
19  The demand discusses the requirements for weld...           True   
20  The demand discusses the requirements for SAWL...           True   
21  The demand discusses the requirements for SAWL...           True   
22  The demand discusses the requirements for the ...           True   
23  The demand discusses the requirements for stra...           True   
24  The demand discusses the requirements for SAWL...           True   
25  The demand discusses specific requirements for...           True   
26  The demand text discusses the requirements and...           True   
27  The demand discusses various aspects of inspec...           True   
28  The demand discusses the inspection and testin...          False   
29  The demand discusses the requirements for Magn...           True   
30  The demand discusses the requirements for SAWL...           True   
31  The demand discusses the requirements for SAWL...           True   
32  The demand discusses the requirements and proc...           True   
33  The demand discusses the requirements for guid...           True   
34  The demand discusses the requirements for Char...           True   
35  The demand discusses the requirements for SAWL...           True   
36  The demand discusses the requirements for the ...           True   
37  The demand discusses the requirements for SAWL...          False   
38  The demand discusses the marking requirements ...           True   
39  The demand discusses the marking details for S...           True   
40  The demand discusses the requirements for mark...           True   
41  The demand discusses the protection of pipe be...          False   
42  The demand discusses the technical requirement...           True   
43  The demand discusses the technical requirement...           True   
44  The demand discusses technical requirements fo...           True   
45  The demand discusses the technical requirement...           True   
46  The demand discusses weldability tests, specif...           True   
47  The demand text discusses technical requiremen...           True   
48  The demand discusses the technical requirement...           True   
49  The demand discusses technical requirements fo...           True   

   correctness_metric  
0           ✔️ [True]  
1                      
2                      
3                      
4           ✔️ [True]  
5           ✔️ [True]  
6           ✔️ [True]  
7                      
8                      
9                      
10          ✔️ [True]  
11          ✔️ [True]  
12          ✔️ [True]  
13          ✔️ [True]  
14                     
15          ✔️ [True]  
16          ✔️ [True]  
17          ✔️ [True]  
18          ✔️ [True]  
19          ✔️ [True]  
20          ✔️ [True]  
21          ✔️ [True]  
22          ✔️ [True]  
23          ✔️ [True]  
24          ✔️ [True]  
25          ✔️ [True]  
26          ✔️ [True]  
27          ✔️ [True]  
28          ✔️ [True]  
29          ✔️ [True]  
30                     
31                     
32          ✔️ [True]  
33          ✔️ [True]  
34          ✔️ [True]  
35          ✔️ [True]  
36                     
37          ✔️ [True]  
38          ✔️ [True]  
39          ✔️ [True]  
40          ✔️ [True]  
41                     
42          ✔️ [True]  
43          ✔️ [True]  
44          ✔️ [True]  
45                     
46          ✔️ [True]  
47          ✔️ [True]  
48          ✔️ [True]  
49          ✔️ [True]  
2025/03/27 14:45:42 INFO dspy.teleprompt.mipro_optimizer_v2: 
RUNNING WITH THE FOLLOWING LIGHT AUTO RUN SETTINGS:
num_trials: 7
minibatch: False
num_candidates: 5
valset size: 40

2025/03/27 14:45:42 INFO dspy.teleprompt.mipro_optimizer_v2: 
==> STEP 1: BOOTSTRAP FEWSHOT EXAMPLES <==
2025/03/27 14:45:42 INFO dspy.teleprompt.mipro_optimizer_v2: These will be used as few-shot example candidates for our program and for creating instructions.

2025/03/27 14:45:42 INFO dspy.teleprompt.mipro_optimizer_v2: Bootstrapping N=5 sets of demonstrations...
Bootstrapping set 1/5
Bootstrapping set 2/5
Bootstrapping set 3/5
 20%|███████████████████████████████▊                                                                                                                               | 2/10 [00:02<00:11,  1.48s/it]
Bootstrapped 2 full traces after 2 examples for up to 1 rounds, amounting to 2 attempts.
Bootstrapping set 4/5
 20%|███████████████████████████████▊                                                                                                                               | 2/10 [00:02<00:11,  1.42s/it]
Bootstrapped 2 full traces after 2 examples for up to 1 rounds, amounting to 2 attempts.
Bootstrapping set 5/5
 10%|███████████████▉                                                                                                                                               | 1/10 [00:01<00:15,  1.72s/it]
Bootstrapped 1 full traces after 1 examples for up to 1 rounds, amounting to 1 attempts.
2025/03/27 14:45:50 INFO dspy.teleprompt.mipro_optimizer_v2: 
==> STEP 2: PROPOSE INSTRUCTION CANDIDATES <==
2025/03/27 14:45:50 INFO dspy.teleprompt.mipro_optimizer_v2: We will use the few-shot examples from the previous step, a generated dataset summary, a summary of the program code, and a randomly selected prompting tip to propose instructions.
2025/03/27 14:45:58 INFO dspy.teleprompt.mipro_optimizer_v2: 
Proposing instructions...

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: Proposed Instructions for Predictor 0:

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 0: Output a bool value by looking at the text given in Demand and decide if a keyword is related.
Base your decision on the provided definition of the keyword. 
In making your decision, consider the reasoning and context of your decision.
If the context's core content deals with an item in the provided common_exclusion_list that is not related to our pipe manufacturing, output False.
If the context's core content deals with an item in the provided raw_material_list that we do not need in our pipe manufacturing, output False.
If the context indicates that the keyword is related because of an isolated appendix or a reference to another material, output False.
If your reasoning falls into the provided special_rule_include category, output True.
If your reasoning falls into the provided special_rule_exclude category, output False.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 1: Analyze the demand text and evaluate the relevance of the specified keyword based on its definition. Consider the context and reasoning to determine if the keyword is related to pipe manufacturing specifications. If the demand includes elements from the common exclusion list or raw material list that are not pertinent to pipe manufacturing, output False. If the demand provides clear numerical values or ranges that correspond to the keyword's definition and aligns with the special rules for inclusion, output True. Otherwise, output False.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 2: Evaluate the relevance of the specified keyword in relation to the given demand text concerning pipe manufacturing specifications. Consider the provided definition of the keyword and apply the special inclusion and exclusion rules to determine if the keyword is relevant based on the context of the demand. If the demand includes clear numerical values or ranges for the keyword, and does not reference excluded items, output True. Otherwise, output False.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 3: In a critical situation where the integrity of a pipeline is at stake, you are tasked with evaluating the relevance of specific keywords in relation to technical demands for pipe manufacturing. Analyze the provided demand text thoroughly and determine if the keyword is pertinent based on its definition. Ensure that your reasoning is clear and considers the context, including any numerical standards or exclusions. If the demand includes items from the common exclusion list or raw material list that are not relevant to pipe manufacturing, output False. If the context aligns with the special rules for inclusion, output True. Your decision must be accurate to ensure compliance with industry standards, as any oversight could lead to significant safety and regulatory issues.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 4: Evaluate the relevance of the specified keyword within the context of the provided demand text related to pipe manufacturing. Your response should be a boolean value indicating the relationship between the keyword and the demand. To determine this, carefully analyze the definitions, special rules, and exclusion lists provided. If the demand text explicitly mentions numerical standards or specifications for the keyword, and aligns with the special inclusion criteria, output True. Conversely, if the demand text includes items from the common exclusion list or raw material list that are irrelevant to pipe manufacturing, or if the keyword is only referenced in an isolated manner, output False. Justify your decision with clear reasoning based on the context of the demand and the defined rules.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: 

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: ==> STEP 3: FINDING OPTIMAL PROMPT PARAMETERS <==
2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: We will evaluate the program over a series of trials with different combinations of instructions and few-shot examples to find the optimal combination using Bayesian Optimization.

2025/03/27 14:46:34 INFO dspy.teleprompt.mipro_optimizer_v2: == Trial 1 / 7 - Full Evaluation of Default Program ==
Average Metric: 33.00 / 40 (82.5%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:16<00:00,  2.40it/s]
2025/03/27 14:46:51 INFO dspy.evaluate.evaluate: Average Metric: 33 / 40 (82.5%)
2025/03/27 14:46:51 INFO dspy.teleprompt.mipro_optimizer_v2: Default program score: 82.5

/opt/anaconda3/lib/python3.12/site-packages/optuna/_experimental.py:31: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  warnings.warn(
2025/03/27 14:46:51 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 2 / 7 =====
Average Metric: 32.00 / 40 (80.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:16<00:00,  2.39it/s]
2025/03/27 14:47:08 INFO dspy.evaluate.evaluate: Average Metric: 32 / 40 (80.0%)
2025/03/27 14:47:08 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 80.0 with parameters ['Predictor 0: Instruction 1', 'Predictor 0: Few-Shot Set 1'].
2025/03/27 14:47:08 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0]
2025/03/27 14:47:08 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:47:08 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:47:08 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 3 / 7 =====
Average Metric: 31.00 / 40 (77.5%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:15<00:00,  2.63it/s]
2025/03/27 14:47:23 INFO dspy.evaluate.evaluate: Average Metric: 31 / 40 (77.5%)
2025/03/27 14:47:23 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 77.5 with parameters ['Predictor 0: Instruction 2', 'Predictor 0: Few-Shot Set 1'].
2025/03/27 14:47:23 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0, 77.5]
2025/03/27 14:47:23 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:47:23 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:47:23 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 4 / 7 =====
Average Metric: 31.00 / 40 (77.5%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:23<00:00,  1.74it/s]
2025/03/27 14:47:46 INFO dspy.evaluate.evaluate: Average Metric: 31 / 40 (77.5%)
2025/03/27 14:47:46 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 77.5 with parameters ['Predictor 0: Instruction 4', 'Predictor 0: Few-Shot Set 1'].
